0	1	2		
2.885000			3.091672	8.448739
2.890000	9.885316	18.319154		
2.895000			3.091696	8.477783
2.900000	9.916233	18.404223		
2.905000			3.091719	8.506927
2.910000	9.947150	18.489585		
2.915000			3.091741	8.536170
2.920000	9.978068	18.575240		
2.925000			3.091764	8.565513
2.930000	10.008986	18.661189		
2.935000			3.091786	8.594956
2.940000	10.039904	18.747434		
2.945000			3.091808	8.624498
2.950000	10.070822	18.833976		
2.955000			3.091830	8.654140
2.960000	10.101741	18.920815		
2.965000			3.091852	8.683882
2.970000	10.132660	19.007952		
2.975000			3.091873	8.713723
2.980000	10.163578	19.095388		
2.985000			3.091895	8.743664
2.990000	10.194498	19.183126		
2.995000			3.091916	8.773705
3.000000	10.225417	19.271164		
3.005000			3.091936	8.803845
3.010000	10.256337	19.359505		
3.015000			3.091957	8.834085
3.020000	10.287256	19.448149		
3.025000			3.091977	8.864424
3.030000	10.318176	19.537098		
3.035000			3.091998	8.894863
3.040000	10.349096	19.626352		
3.045000			3.092018	8.925402
3.050000	10.380017	19.715912		
3.055000			3.092037	8.956041
3.060000	10.410937	19.805780		
3.065000			3.092057	8.986779
3.070000	10.441858	19.895956		
3.075000			3.092076	9.017617
3.080000	10.472779	19.986442		
3.085000			3.092096	9.048555
3.090000	10.503700	20.077238		
3.095000			3.092115	9.079592
3.100000	10.534622	20.168345		
3.105000			3.092134	9.110729
3.110000	10.565543	20.259764		
3.115000			3.092152	9.141965
3.120000	10.596465	20.351498		
3.125000			3.092171	9.173302
3.130000	10.627387	20.443545		
3.135000			3.092189	9.204738
3.140000	10.658309	20.535908		
3.145000			3.092207	9.236274
3.150000	10.689231	20.628587		
3.155000			3.092225	9.267909
3.160000	10.720154	20.721583		
3.165000			3.092243	9.299644
3.170000	10.751076	20.814898		
3.175000			3.092260	9.331479
3.180000	10.781999	20.908532		
3.185000			3.092278	9.363414
3.190000	10.812922	21.002487		
3.195000			3.092295	9.395448
3.200000	10.843845	21.096762		
3.205000			3.092312	9.427582
3.210000	10.874768	21.191361		
3.215000			3.092329	9.459816
3.220000	10.905692	21.286282		
3.225000			3.092346	9.492149
3.230000	10.936615	21.381528		
3.235000			3.092362	9.524582
3.240000	10.967539	21.477099		
3.245000			3.092379	9.557115
3.250000	10.998463	21.572996		
3.255000			3.092395	9.589748
3.260000	11.029387	21.669221		
3.265000			3.092411	9.622480
3.270000	11.060311	21.765774		
3.275000			3.092427	9.655312
3.280000	11.091236	21.862657		
3.285000			3.092443	9.688244
3.290000	11.122160	21.959870		
3.295000			3.092458	9.721276
3.300000	11.153085	22.057414		
3.305000			3.092474	9.754407
3.310000	11.184010	22.155290		
3.315000			3.092489	9.787638
3.320000	11.214935	22.253500		
3.325000			3.092504	9.820969
3.330000	11.245860	22.352044		
3.335000			3.092519	9.854400
3.340000	11.276786	22.450923		
3.345000			3.092534	9.887930
3.350000	11.307711	22.550139		
3.355000			3.092549	9.921560
3.360000	11.338637	22.649692		
3.365000			3.092564	9.955290
3.370000	11.369563	22.749583		
3.375000			3.092578	9.989120
3.380000	11.400489	22.849813		
3.385000			3.092593	10.023049
3.390000	11.431415	22.950384		
3.395000			3.092607	10.057078
3.400000	11.462341	23.051296		
3.405000			3.092621	10.091207
3.410000	11.493267	23.152550		
3.415000			3.092635	10.125436
3.420000	11.524194	23.254148		
3.425000			3.092648	10.159764
3.430000	11.555120	23.356090		
3.435000			3.092662	10.194192
3.440000	11.586047	23.458377		
3.445000			3.092676	10.228720
3.450000	11.616974	23.561011		
3.455000			3.092689	10.263348
3.460000	11.647901	23.663991		
3.465000			3.092702	10.298076
3.470000	11.678828	23.767321		
3.475000			3.092715	10.332903
3.480000	11.709755	23.870999		
3.485000			3.092728	10.367830
3.490000	11.740683	23.975027		
3.495000			3.092741	10.402857
3.500000	11.771610	24.079407		
3.505000			3.092754	10.437984
3.510000	11.802538	24.184139		
3.515000			3.092767	10.473210
3.520000	11.833466	24.289225		
3.525000			3.092779	10.508537
3.530000	11.864394	24.394664		
3.535000			3.092792	10.543963
3.540000	11.895322	24.500459		
3.545000			3.092804	10.579488
3.550000	11.926250	24.606610		
3.555000			3.092816	10.615114
3.560000	11.957178	24.713119		
3.565000			3.092828	10.650840
3.570000	11.988107	24.819985		
3.575000			3.092840	10.686665
3.580000	12.019035	24.927211		
3.585000			3.092852	10.722590
3.590000	12.049964	25.034797		
3.595000			3.092863	10.758615
3.600000	12.080892	25.142745		
3.605000			3.092875	10.794739
3.610000	12.111821	25.251054		
3.615000			3.092887	10.830964
3.620000	12.142750	25.359727		
3.625000			3.092898	10.867288
3.630000	12.173679	25.468764		
3.635000			3.092909	10.903712
3.640000	12.204609	25.578167		
3.645000			3.092920	10.940236
3.650000	12.235538	25.687935		
3.655000			3.092931	10.976860
3.660000	12.266467	25.798071		
3.665000			3.092942	11.013583
3.670000	12.297397	25.908575		
3.675000			3.092953	11.050407
3.680000	12.328327	26.019449		
3.685000			3.092964	11.087330
3.690000	12.359256	26.130692		
3.695000			3.092975	11.124353
3.700000	12.390186	26.242307		
3.705000			3.092985	11.161476
3.710000	12.421116	26.354294		
3.715000			3.092995	11.198698
3.720000	12.452046	26.466654		
3.725000			3.093006	11.236021
3.730000	12.482976	26.579389		
3.735000			3.093016	11.273443
3.740000	12.513907	26.692498		
3.745000			3.093026	11.310965
3.750000	12.544837	26.805984		
3.755000			3.093036	11.348587
3.760000	12.575767	26.919847		
3.765000			3.093046	11.386309
3.770000	12.606698	27.034088		
3.775000			3.093056	11.424130
3.780000	12.637629	27.148709		
3.785000			3.093066	11.462052
3.790000	12.668559	27.263710		
3.795000			3.093075	11.500073
3.800000	12.699490	27.379092		
3.805000			3.093085	11.538194
3.810000	12.730421	27.494856		
3.815000			3.093095	11.576415
3.820000	12.761352	27.611003		
3.825000			3.093104	11.614736
3.830000	12.792283	27.727535		
3.835000			3.093113	11.653156
3.840000	12.823215	27.844451		
3.845000			3.093122	11.691677
3.850000	12.854146	27.961754		
3.855000			3.093132	11.730297
3.860000	12.885077	28.079445		
3.865000			3.093141	11.769017
3.870000	12.916009	28.197523		
3.875000			3.093150	11.807837
3.880000	12.946940	28.315991		
