Wähle das Verfahren (n = 1000) (1) exp. Euler, (2) Runge-Kutter, (3) leap-frog: 
Verfahren: Runge-Kutter
55 0.62206 -0.419649
55.1 0.60112 -0.497437
55.2 0.5763 -0.572735
55.3 0.547726 -0.64488
55.4 0.515553 -0.713231
55.5 0.479972 -0.77718
55.6 0.441202 -0.836155
55.7 0.399491 -0.889625
55.8 0.355114 -0.93711
55.9 0.30837 -0.978178
56 0.259577 -1.01246
56.1 0.209077 -1.03964
56.2 0.157221 -1.05946
56.3 0.104378 -1.07175
56.4 0.0509222 -1.07639
56.5 -0.00276354 -1.07332
56.6 -0.0562956 -1.06258
56.7 -0.109291 -1.04426
56.8 -0.161371 -1.0185
56.9 -0.212166 -0.985538
57 -0.261316 -0.945667
57.1 -0.308476 -0.899237
57.2 -0.35332 -0.846658
57.3 -0.395541 -0.788397
57.4 -0.434855 -0.72497
57.5 -0.471006 -0.656937
57.6 -0.503762 -0.584899
57.7 -0.532925 -0.509491
57.8 -0.558327 -0.431377
57.9 -0.579832 -0.351239
58 -0.59734 -0.269778
58.1 -0.610785 -0.1877
58.2 -0.620137 -0.105716
58.3 -0.625399 -0.0245276
58.4 -0.626612 0.0551721
58.5 -0.623851 0.132711
58.6 -0.617222 0.207439
58.7 -0.606867 0.278742
58.8 -0.592956 0.346038
58.9 -0.575688 0.408791
59 -0.555292 0.466509
59.1 -0.532018 0.518755
59.2 -0.506138 0.565147
59.3 -0.477945 0.605362
59.4 -0.447748 0.63914
59.5 -0.415866 0.666285
59.6 -0.382632 0.686668
59.7 -0.348381 0.700226
59.8 -0.313456 0.706964
59.9 -0.278195 0.706954
60 -0.242935 0.700334
60.1 -0.208007 0.687307
60.2 -0.173729 0.668135
60.3 -0.140408 0.643143
60.4 -0.108334 0.612708
60.5 -0.0777785 0.57726
60.6 -0.0489919 0.537275
60.7 -0.0222001 0.493272
60.8 0.0023965 0.445804
60.9 0.0246252 0.395455
61 0.0443424 0.342834
61.1 0.0614348 0.288569
61.2 0.0758205 0.233298
61.3 0.0874494 0.177662
61.4 0.0963035 0.122305
61.5 0.102397 0.0678582
61.6 0.105774 0.0149406
61.7 0.106513 -0.0358509
61.8 0.104718 -0.0839466
61.9 0.100526 -0.12881
62 0.0940956 -0.169943
62.1 0.0856145 -0.20689
62.2 0.0752912 -0.239247
62.3 0.0633547 -0.266658
62.4 0.0500517 -0.288826
62.5 0.0356436 -0.305513
62.6 0.020404 -0.316539
62.7 0.00461513 -0.321792
62.8 -0.011435 -0.321221
62.9 -0.0274559 -0.31484
63 -0.0431579 -0.302728
63.1 -0.058255 -0.285028
63.2 -0.0724687 -0.261945
63.3 -0.0855304 -0.233743
63.4 -0.0971849 -0.200744
63.5 -0.107193 -0.163325
63.6 -0.115334 -0.121911
63.7 -0.121409 -0.0769726
63.8 -0.125243 -0.0290232
63.9 -0.126684 0.0213902
64 -0.125611 0.0736905
64.1 -0.121929 0.127277
64.2 -0.115575 0.18153
64.3 -0.106514 0.235822
64.4 -0.0947457 0.289518
64.5 -0.0802993 0.341985
64.6 -0.0632361 0.392601
64.7 -0.0436487 0.440757
64.8 -0.0216598 0.485866
64.9 0.00257847 0.527368
65 0.0288863 0.564738
65.1 0.0570574 0.597488
65.2 0.0868613 0.625176
65.3 0.118046 0.647409
65.4 0.150338 0.663845
65.5 0.18345 0.6742
65.6 0.217077 0.67825
65.7 0.250905 0.675835
65.8 0.284612 0.666856
65.9 0.317871 0.651283
66 0.350352 0.629151
66.1 0.381728 0.600561
66.2 0.411678 0.56568
66.3 0.439887 0.524739
66.4 0.466054 0.47803
66.5 0.48989 0.425908
66.6 0.511125 0.36878
66.7 0.529511 0.307108
66.8 0.544821 0.241403
66.9 0.556853 0.172215
67 0.565433 0.100137
67.1 0.570419 0.0257908
67.2 0.571696 -0.0501737
67.3 0.569184 -0.127087
67.4 0.562836 -0.204267
67.5 0.552638 -0.281022
67.6 0.538613 -0.356664
67.7 0.520815 -0.430509
67.8 0.499334 -0.501885
67.9 0.474293 -0.570143
68 0.445849 -0.634657
68.1 0.414187 -0.694836
68.2 0.379524 -0.750125
68.3 0.342105 -0.800014
68.4 0.302197 -0.84404
68.5 0.260095 -0.881794
68.6 0.216111 -0.912923
68.7 0.170575 -0.937137
68.8 0.123832 -0.954208
68.9 0.076238 -0.963972
69 0.0281584 -0.966335
69.1 -0.0200382 -0.961272
69.2 -0.0679813 -0.948823
69.3 -0.115303 -0.929099
69.4 -0.161639 -0.902278
69.5 -0.206637 -0.868603
