Wähle das Verfahren (n = 1000) (1) exp. Euler, (2) Runge-Kutter, (3) leap-frog: 
Verfahren: leap-frog
43.9 -6.43682 0.169782
44 -6.3875 0.815017
44.1 -6.27437 1.45248
44.2 -6.09853 2.07579
44.3 -5.86168 2.67871
44.4 -5.56617 3.25521
44.5 -5.21491 3.79951
44.6 -4.81138 4.30615
44.7 -4.35959 4.77004
44.8 -3.86402 5.18653
44.9 -3.3296 5.55143
45 -2.76165 5.86105
45.1 -2.16582 6.11229
45.2 -1.54806 6.30259
45.3 -0.914514 6.43003
45.4 -0.271516 6.49329
45.5 0.374519 6.49171
45.6 1.01714 6.42527
45.7 1.64992 6.29461
45.8 2.26654 6.101
45.9 2.86082 5.84633
46 3.42682 5.53313
46.1 3.95887 5.1645
46.2 4.45164 4.74409
46.3 4.90019 4.27608
46.4 5.3 3.76512
46.5 5.64707 3.21631
46.6 5.93791 2.6351
46.7 6.16958 2.0273
46.8 6.33973 1.39896
46.9 6.44665 0.756353
47 6.48922 0.105898
47.1 6.46701 -0.54591
47.2 6.3802 -1.19256
47.3 6.22962 -1.82758
47.4 6.01677 -2.44462
47.5 5.74373 -3.03751
47.6 5.4132 -3.60031
47.7 5.02847 -4.12738
47.8 4.59335 -4.61344
47.9 4.11218 -5.05361
48 3.58973 -5.44348
48.1 3.03121 -5.77913
48.2 2.44218 -6.05718
48.3 1.82853 -6.27482
48.4 1.19636 -6.42987
48.5 0.551994 -6.52073
48.6 -0.0981443 -6.54648
48.7 -0.74756 -6.50684
48.8 -1.38976 -6.40217
48.9 -2.01833 -6.23349
49 -2.62699 -6.00247
49.1 -3.20964 -5.71139
49.2 -3.76045 -5.36313
49.3 -4.27391 -4.96115
49.4 -4.74488 -4.50946
49.5 -5.16862 -4.01254
49.6 -5.5409 -3.47535
49.7 -5.85796 -2.90323
49.8 -6.11663 -2.3019
49.9 -6.3143 -1.67735
50 -6.44897 -1.03581
50.1 -6.51927 -0.383696
50.2 -6.52448 0.272485
50.3 -6.46452 0.926175
50.4 -6.33997 1.57084
50.5 -6.15205 2.20004
50.6 -5.90262 2.80747
50.7 -5.59414 3.38706
50.8 -5.22968 3.93301
50.9 -4.81286 4.43984
51 -4.34782 4.90249
51.1 -3.83921 5.3163
51.2 -3.29208 5.67714
51.3 -2.71189 5.98137
51.4 -2.10443 6.22594
51.5 -1.47575 6.40838
51.6 -0.83213 6.52686
51.7 -0.179997 6.58016
51.8 0.474137 6.56773
51.9 1.12374 6.48967
52 1.76231 6.34676
52.1 2.38347 6.14038
52.2 2.98102 5.87259
52.3 3.54896 5.54605
52.4 4.08162 5.16399
52.5 4.57367 4.73023
52.6 5.02018 4.24907
52.7 5.41666 3.72532
52.8 5.75916 3.1642
52.9 6.04422 2.57129
53 6.26898 1.95253
53.1 6.43119 1.31408
53.2 6.5292 0.662324
53.3 6.56201 0.00376443
53.4 6.52929 -0.655016
53.5 6.43133 -1.30743
53.6 6.2691 -1.94697
53.7 6.0442 -2.56722
53.8 5.75886 -3.16199
53.9 5.41592 -3.72533
54 5.01879 -4.2516
54.1 4.57142 -4.73553
54.2 4.07827 -5.17226
54.3 3.54425 -5.55744
54.4 2.97469 -5.88718
54.5 2.37527 -6.15819
54.6 1.75197 -6.36774
54.7 1.11101 -6.51372
54.8 0.458799 -6.59465
54.9 -0.198157 -6.60971
55 -0.853295 -6.55873
55.1 -1.50007 -6.44221
55.2 -2.13201 -6.2613
55.3 -2.7428 -6.01778
55.4 -3.32634 -5.71407
55.5 -3.87679 -5.3532
55.6 -4.38863 -4.93876
55.7 -4.85675 -4.47488
55.8 -5.27647 -3.96618
55.9 -5.64356 -3.41773
56 -5.95437 -2.83501
56.1 -6.20575 -2.22383
56.2 -6.3952 -1.59029
56.3 -6.52081 -0.940725
56.4 -6.58129 -0.281614
56.5 -6.57605 0.380455
56.6 -6.50511 1.03887
56.7 -6.36917 1.68704
56.8 -6.16957 2.3185
56.9 -5.9083 2.92693
57 -5.58795 3.50624
57.1 -5.2117 4.05064
57.2 -4.78332 4.55468
57.3 -4.30706 5.01331
57.4 -3.78768 5.42195
57.5 -3.23035 5.7765
57.6 -2.64065 6.07341
57.7 -2.02444 6.30969
57.8 -1.38789 6.48297
57.9 -0.737346 6.59151
58 -0.0793128 6.63421
58.1 0.57964 6.61064
58.2 1.23293 6.52101
58.3 1.87402 6.36621
58.4 2.49651 6.14776
58.5 3.09418 5.86785
58.6 3.66105 5.52926
58.7 4.19145 5.13536
58.8 4.68007 4.69008
58.9 5.12202 4.19785
59 5.51288 3.66359
59.1 5.84874 3.09263
59.2 6.12623 2.49066
59.3 6.34256 1.86371
59.4 6.49556 1.21802
59.5 6.5837 0.560045
59.6 6.60608 -0.103637
59.7 6.56247 -0.766398
59.8 6.45328 -1.42161
59.9 6.27961 -2.06274
60 6.04317 -2.68336
60.1 5.74632 -3.27727
60.2 5.39202 -3.83854
60.3 4.98379 -4.36155
60.4 4.5257 -4.84106
60.5 4.02232 -5.27228
60.6 3.47868 -5.65089
60.7 2.9002 -5.97309
60.8 2.29265 -6.23567
60.9 1.66211 -6.43598
61 1.01486 -6.57202
61.1 0.357374 -6.64242
61.2 -0.303782 -6.64645
61.3 -0.962003 -6.58408
61.4 -1.61071 -6.45591
61.5 -2.24342 -6.26322
61.6 -2.85382 -6.00792
61.7 -3.43579 -5.69255
61.8 -3.98352 -5.32025
61.9 -4.49153 -4.89474
62 -4.95474 -4.42027
62.1 -5.36852 -3.90156
62.2 -5.72871 -3.34379
62.3 -6.03173 -2.75254
62.4 -6.27453 -2.1337
62.5 -6.45467 -1.49345
62.6 -6.57035 -0.838191
62.7 -6.62041 -0.174469
62.8 -6.60432 0.491087
62.9 -6.52226 1.15183
63 -6.37502 1.80114
63.1 -6.16407 2.43255
63.2 -5.89151 3.03974
63.3 -5.56006 3.61663
63.4 -5.17301 4.15747
63.5 -4.73423 4.65683
63.6 -4.2481 5.10972
63.7 -3.71946 5.51162
63.8 -3.1536 5.8585
63.9 -2.55616 6.14689
64 -1.9331 6.37389
64.1 -1.29066 6.53723
64.2 -0.63525 6.63528
64.3 0.0265884 6.66704
64.4 0.68824 6.63219
64.5 1.34309 6.53106
64.6 1.98461 6.36467
64.7 2.60637 6.13467
64.8 3.20216 5.84334
64.9 3.76603 5.49359
65 4.29233 5.08891
65.1 4.77581 4.63334
65.2 5.21163 4.13142
65.3 5.59543 3.58817
65.4 5.92337 3.009
65.5 6.19217 2.3997
65.6 6.39913 1.76636
65.7 6.54217 1.1153
65.8 6.61988 0.453024
65.9 6.63145 -0.213849
66 6.57676 -0.878655
66.1 6.45637 -1.53475
66.2 6.27145 -2.17559
66.3 6.02386 -2.79475
66.4 5.71606 -3.38605
66.5 5.35112 -3.94357
66.6 4.93267 -4.46176
66.7 4.46491 -4.93541
66.8 3.95249 -5.3598
66.9 3.40052 -5.73068
67 2.81453 -6.04433
67.1 2.20037 -6.29762
67.2 1.56416 -6.48801
67.3 0.912256 -6.61359
67.4 0.251181 -6.67311
67.5 -0.412466 -6.66595
67.6 -1.07206 -6.59219
67.7 -1.72099 -6.45255
67.8 -2.3528 -6.24843
67.9 -2.96115 -5.98185
