Wähle das Verfahren (n = 50000) (1) exp. Euler, (2) Runge-Kutter, (3) leap-frog: 
Verfahren: Runge-Kutter
0.905 0.456485 1.0431
0.906 0.457007 1.04321
0.907 0.457528 1.04332
0.908 0.45805 1.04343
0.909 0.458572 1.04355
0.91 0.459093 1.04366
0.911 0.459615 1.04377
0.912 0.460137 1.04389
0.913 0.460659 1.044
0.914 0.461181 1.04411
0.915 0.461703 1.04423
0.916 0.462225 1.04434
0.917 0.462747 1.04445
0.918 0.46327 1.04457
0.919 0.463792 1.04468
0.92 0.464314 1.04479
0.921 0.464837 1.04491
0.922 0.465359 1.04502
0.923 0.465881 1.04513
0.924 0.466404 1.04525
0.925 0.466927 1.04536
0.926 0.467449 1.04547
0.927 0.467972 1.04559
0.928 0.468495 1.0457
0.929 0.469018 1.04582
0.93 0.469541 1.04593
0.931 0.470064 1.04604
0.932 0.470587 1.04616
0.933 0.47111 1.04627
0.934 0.471633 1.04638
0.935 0.472156 1.0465
0.936 0.472679 1.04661
0.937 0.473203 1.04673
0.938 0.473726 1.04684
0.939 0.474249 1.04695
0.94 0.474773 1.04707
0.941 0.475296 1.04718
0.942 0.47582 1.0473
0.943 0.476344 1.04741
0.944 0.476867 1.04752
0.945 0.477391 1.04764
0.946 0.477915 1.04775
0.947 0.478439 1.04787
0.948 0.478963 1.04798
0.949 0.479487 1.0481
0.95 0.480011 1.04821
0.951 0.480535 1.04832
0.952 0.481059 1.04844
0.953 0.481583 1.04855
0.954 0.482108 1.04867
0.955 0.482632 1.04878
0.956 0.483156 1.0489
0.957 0.483681 1.04901
0.958 0.484205 1.04913
0.959 0.48473 1.04924
0.96 0.485254 1.04935
0.961 0.485779 1.04947
0.962 0.486304 1.04958
0.963 0.486829 1.0497
0.964 0.487353 1.04981
0.965 0.487878 1.04993
0.966 0.488403 1.05004
0.967 0.488928 1.05016
0.968 0.489453 1.05027
0.969 0.489979 1.05039
